Initial VIF Values:
                            Feature        VIF
28                  satd_path_depth  17.857471
18            project_total_commits   9.167686
21        project_active_developers   9.108348
7      developer_removed_satd_count   7.568364
17              project_active_days   7.028341
26             project_readme_score   6.918297
8           developer_total_commits   6.081958
20         project_total_developers   5.985678
3             satd_position_in_file   5.831721
5             developer_active_days   5.277968
19           project_active_commits   5.127203
6        developer_added_satd_count   5.036862
12              developer_ownership   4.770632
34             satd_quality_score_3   4.571231
9          developer_active_commits   4.565221
24             project_file_authors   3.771903
2             code_imported_modules   3.679236
29            satd_type_design debt   3.665017
31       satd_type_requirement debt   3.283162
22                    project_files   3.067083
35   satd_add_is_weekend_or_night_1   2.975511
33             satd_quality_score_2   2.971497
13      developer_past_bugfix_ratio   2.858263
23           project_file_frequency   2.427934
15     developer_past_feature_ratio   2.264290
1                   code_file_lines   2.256793
27                      satd_length   1.773237
16    developer_past_refactor_ratio   1.620353
14     developer_past_cleanup_ratio   1.519319
11  developer_last_remove_satd_days   1.312480
32              satd_type_test debt   1.309924
30     satd_type_documentation debt   1.217882
10       developer_last_commit_days   1.176599
4    code_method_declaration_params   1.170830
25         project_last_commit_days   1.125914
0        code_cyclomatic_complexity   1.123343

round 1: Removed feature 'satd_path_depth'

------------------------------------------------------------
                            Feature       VIF
21        project_active_developers  9.085840
18            project_total_commits  9.061225
7      developer_removed_satd_count  7.567787
17              project_active_days  6.783880
26             project_readme_score  6.392808
8           developer_total_commits  6.059829
20         project_total_developers  5.980829
3             satd_position_in_file  5.638300
5             developer_active_days  5.202341
6        developer_added_satd_count  4.992058
19           project_active_commits  4.868834
9          developer_active_commits  4.556900
12              developer_ownership  4.551378
33             satd_quality_score_3  4.264713
24             project_file_authors  3.769239
2             code_imported_modules  3.604827
28            satd_type_design debt  3.513696
30       satd_type_requirement debt  3.154892
22                    project_files  3.040440
34   satd_add_is_weekend_or_night_1  2.937196
13      developer_past_bugfix_ratio  2.816114
32             satd_quality_score_2  2.755916
23           project_file_frequency  2.414363
1                   code_file_lines  2.256775
15     developer_past_feature_ratio  2.229771
27                      satd_length  1.753983
16    developer_past_refactor_ratio  1.606618
14     developer_past_cleanup_ratio  1.514143
11  developer_last_remove_satd_days  1.307365
31              satd_type_test debt  1.296489
29     satd_type_documentation debt  1.188146
10       developer_last_commit_days  1.176541
4    code_method_declaration_params  1.167986
25         project_last_commit_days  1.125364
0        code_cyclomatic_complexity  1.122458

round 2: Removed feature 'project_active_developers'

------------------------------------------------------------
                            Feature       VIF
18            project_total_commits  9.046079
7      developer_removed_satd_count  7.567614
17              project_active_days  6.716978
8           developer_total_commits  6.059465
25             project_readme_score  5.921863
3             satd_position_in_file  5.637620
5             developer_active_days  5.194881
6        developer_added_satd_count  4.991303
12              developer_ownership  4.540232
32             satd_quality_score_3  4.264635
9          developer_active_commits  4.251404
19           project_active_commits  4.038570
23             project_file_authors  3.723713
2             code_imported_modules  3.584050
27            satd_type_design debt  3.513052
29       satd_type_requirement debt  3.154459
21                    project_files  3.032981
33   satd_add_is_weekend_or_night_1  2.935774
13      developer_past_bugfix_ratio  2.804884
31             satd_quality_score_2  2.745615
20         project_total_developers  2.691555
22           project_file_frequency  2.402079
1                   code_file_lines  2.250238
15     developer_past_feature_ratio  2.225468
26                      satd_length  1.753517
16    developer_past_refactor_ratio  1.606599
