feature,mean_abs_shap
ownership,0.23826716269453527
d_active_commits,0.22223603180741666
added_satd_count,0.17007774656340893
file_authors,0.1650891722177834
last_repay_satd_days,0.16375781880712348
total_developers,0.1481441691232405
p_active_days,0.14698022461426818
d_total_commits,0.1451217476932269
file_frequency,0.13692219765673605
p_active_commits,0.13253188729471113
files,0.12657053234979104
d_last_commit_days,0.09889945373558258
length,0.08746104658628948
file_lines,0.07127620531217034
past_bugfix_ratio,0.06976108415243801
imported_modules,0.06049157992127241
past_feature_ratio,0.05998773584489868
quality_score_1,0.059960221470766205
quality_score_3,0.046857493633693355
past_refactor_ratio,0.04216304317345799
type_requirement debt,0.032317662473729296
p_last_commit_days,0.03140564977929868
past_cleanup_ratio,0.02696687397867996
method_params ,0.025800414675126594
cyclomatic_complexity,0.025761393177514448
type_design debt,0.01848793566818709
quality_score_2,0.01113881192393415
type_defect debt,0.009025739511843045
type_documentation debt,0.0011810425879881098
type_test debt,0.001178258721433576
