val_loss,acc,prec,rec,f1,auc
0.6207,0.6468,0.6701,0.7547,0.7099,0.6959
0.6204,0.6464,0.6464,0.8448,0.7324,0.6977
0.6153,0.6494,0.6498,0.8414,0.7333,0.7005
0.6409,0.6440,0.7001,0.6621,0.6805,0.6970
0.6402,0.6244,0.6349,0.8103,0.7120,0.6539
0.6298,0.6314,0.6725,0.6948,0.6835,0.6870
0.6397,0.6351,0.6962,0.6440,0.6691,0.6913
0.6298,0.6217,0.6789,0.6444,0.6612,0.6753
0.6281,0.6486,0.6755,0.7440,0.7081,0.6997
0.6370,0.6190,0.6681,0.6649,0.6665,0.6750

# AverageAUC: 0.6873，AveragePrec: 0.6693，AverageRec: 0.7305，AverageF1: 0.6956，AverageAcc: 0.6367，Averageval_loss: 0.6302
