val_loss,acc,prec,rec,f1,auc,Project
0.6892,0.5312,0.5166,0.5829,0.5477,0.5711,apache/accumulo
0.7252,0.4974,0.5055,0.9200,0.6525,0.4627,apache/activemq
0.7133,0.5533,0.5135,0.5089,0.5112,0.5151,apache/ant
0.6127,0.6749,0.8291,0.7490,0.7870,0.5892,apache/aries
0.6676,0.6381,0.6904,0.7960,0.7394,0.6038,apache/asterixdb
0.6272,0.6836,0.7088,0.9439,0.8096,0.4740,apache/atlas
0.4324,1.0000,1.0000,1.0000,1.0000,1.0000,apache/avro
0.7046,0.5707,0.5326,0.6618,0.5902,0.5885,apache/beam
0.6285,0.5897,0.2308,0.3333,0.2727,0.5352,apache/bookkeeper
0.6935,0.5476,0.5152,0.8500,0.6415,0.6409,apache/bval
0.7485,0.5075,0.5226,0.7642,0.6207,0.4733,apache/calcite
0.6813,0.6046,0.6783,0.7757,0.7237,0.5358,apache/camel
0.6756,0.5775,0.5704,0.6431,0.6045,0.6032,apache/cassandra
0.5522,0.7900,0.8678,0.8931,0.8802,0.5415,apache/causeway
0.6559,0.6231,0.6638,0.8786,0.7562,0.4967,apache/cayenne
0.6579,0.5867,0.6842,0.5778,0.6265,0.5974,apache/commons-io
0.7910,0.4286,0.6038,0.4267,0.5000,0.3436,apache/commons-lang
0.6071,0.8182,0.9474,0.8571,0.9000,0.0952,apache/creadur-rat
0.8081,0.0000,0.0000,0.0000,0.0000,0.0000,apache/ctakes
0.6864,0.5556,0.8333,0.6250,0.7143,0.5000,apache/curator
0.6228,0.6566,0.8527,0.7083,0.7738,0.5567,apache/cxf
0.4130,1.0000,1.0000,1.0000,1.0000,1.0000,apache/datafu
0.7619,0.4558,0.4683,0.8194,0.5960,0.4572,apache/deltaspike
0.6943,0.5602,0.5290,0.9012,0.6667,0.6018,apache/dolphinscheduler
0.7189,0.4522,0.4637,0.5698,0.5113,0.4636,apache/drill
0.6778,0.5826,0.5989,0.5892,0.5940,0.6098,apache/druid
0.6617,0.5525,0.5404,0.8168,0.6505,0.5659,apache/dubbo
0.6296,0.6444,0.7368,0.8235,0.7778,0.4465,apache/empire-db
0.8204,0.3750,0.3810,0.9600,0.5455,0.5108,apache/eventmesh
0.6883,0.5935,0.6991,0.6583,0.6781,0.5653,apache/fineract
0.6914,0.5356,0.4530,0.4852,0.4686,0.5272,apache/flink
0.6740,0.6591,0.6911,0.9239,0.7907,0.5029,apache/fluo
0.6366,0.6034,0.9722,0.6140,0.7527,0.1930,apache/freemarker
0.7512,0.5232,0.4422,0.5930,0.5066,0.5345,apache/geode
0.6872,0.5499,0.5741,0.8330,0.6797,0.5126,apache/geronimo
0.6391,0.5405,0.5000,0.4706,0.4848,0.6176,apache/giraph
0.7252,0.5118,0.6354,0.4729,0.5422,0.5374,apache/gobblin
0.6935,0.5339,0.4707,0.6823,0.5571,0.5609,apache/hadoop
0.6669,0.5860,0.6985,0.4860,0.5732,0.6494,apache/helix
0.6952,0.5427,0.6720,0.5841,0.6250,0.5268,apache/hop
0.7244,0.4449,0.3146,0.8000,0.4516,0.6313,apache/hudi
0.7182,0.5515,0.5122,0.7000,0.5915,0.5884,apache/iceberg
0.6128,0.6671,0.7223,0.8173,0.7668,0.6771,apache/ignite
0.7169,0.5604,0.4643,0.7222,0.5652,0.6126,apache/inlong
0.7519,0.4739,0.4072,0.5694,0.4748,0.4793,apache/iotdb
0.6067,0.7146,0.7464,0.9155,0.8223,0.5759,apache/jackrabbit
0.6912,0.5606,0.5807,0.9011,0.7063,0.5348,apache/jclouds
0.6608,0.6040,0.6012,0.9150,0.7256,0.6131,apache/jmeter
0.5740,0.8158,0.8261,0.8636,0.8444,0.8295,apache/johnzon
0.7435,0.4234,0.7500,0.3661,0.4921,0.5178,apache/jspwiki
0.7287,0.4816,0.4227,0.6308,0.5062,0.5314,apache/kafka
0.6251,0.6897,0.7561,0.7949,0.7750,0.6233,apache/karaf
0.7341,0.6024,0.7353,0.7692,0.7519,0.2171,apache/knox
0.9201,0.5625,0.0000,0.0000,0.0000,0.3333,apache/kylin
0.7138,0.5129,0.5065,0.6132,0.5548,0.5051,apache/lucene
0.8247,0.3673,1.0000,0.3608,0.5303,0.4845,apache/manifoldcf
0.6564,0.6268,0.6519,0.9074,0.7587,0.5506,apache/maven
0.6152,0.5556,0.1667,0.2500,0.2000,0.5536,apache/metron
0.7209,0.5797,0.7179,0.6087,0.6588,0.5288,apache/mina
0.7387,0.4357,0.4038,0.8358,0.5446,0.4912,apache/myfaces
0.6225,0.7063,0.7680,0.8421,0.8033,0.6320,apache/netbeans
0.6742,0.6395,0.6479,0.8009,0.7164,0.6155,apache/nifi
0.6979,0.5904,0.3333,0.4167,0.3704,0.5230,apache/nutch
0.6877,0.5640,0.6494,0.7745,0.7065,0.3948,apache/olingo-odata4
0.7080,0.5263,0.4231,0.4783,0.4490,0.5320,apache/oozie
0.6431,0.5740,0.7586,0.4314,0.5500,0.7349,apache/openjpa
0.4935,0.8727,0.9863,0.8834,0.9320,0.4540,apache/openmeetings
0.6548,0.6898,0.6143,0.8687,0.7197,0.7087,apache/opennlp
0.6106,0.5966,0.6282,0.7313,0.6759,0.6331,apache/openwebbeans
0.6706,0.6113,0.5747,0.5380,0.5557,0.6418,apache/ozone
0.7800,0.4308,0.3711,0.7347,0.4932,0.4419,apache/paimon
0.5791,0.7532,0.7635,0.9658,0.8528,0.6509,apache/parquet-java
0.6821,0.6167,0.6535,0.8713,0.7469,0.5148,apache/pdfbox
0.7245,0.4697,0.5032,0.4432,0.4713,0.4596,apache/phoenix
0.7167,0.4505,0.3201,0.8333,0.4626,0.6324,apache/pig
0.6909,0.5457,0.5519,0.6210,0.5844,0.5519,apache/pinot
0.6747,0.5757,0.5551,0.2694,0.3627,0.6096,apache/poi
0.6924,0.5316,0.5000,0.7568,0.6022,0.5833,apache/pulsar
0.8950,0.5349,0.5521,0.7571,0.6386,0.4637,apache/ratis
0.6614,0.6169,0.6159,0.9341,0.7424,0.6619,apache/rocketmq
0.7533,0.4483,0.3430,0.6057,0.4380,0.4954,apache/roller
0.7352,0.5939,0.5789,0.4783,0.5238,0.5557,apache/royale-compiler
0.7187,0.4719,0.0851,0.5000,0.1455,0.5494,apache/rya
0.7814,0.3243,0.3204,0.8684,0.4681,0.3998,apache/samza
0.6981,0.5049,0.4636,0.7692,0.5785,0.5746,apache/seatunnel
0.5824,0.7179,0.7568,0.9333,0.8358,0.3944,apache/servicecomb-pack
0.6462,0.6341,0.6154,0.7619,0.6809,0.6881,apache/shenyu
0.5560,0.6893,0.7216,0.9333,0.8140,0.7379,apache/shiro
0.8228,0.3283,0.5152,0.3501,0.4169,0.2682,apache/sis
0.6383,0.5696,0.6852,0.6852,0.6852,0.6096,apache/skywalking
0.5635,0.7925,0.8028,0.9580,0.8736,0.7631,apache/storm
0.6950,0.5542,0.4615,0.5294,0.4932,0.5519,apache/struts
0.7337,0.5800,0.6103,0.8925,0.7249,0.3482,apache/synapse
0.6959,0.5816,0.8036,0.6000,0.6870,0.5812,apache/syncope
0.6830,0.6060,0.6835,0.7665,0.7226,0.5514,apache/systemds
0.8794,0.3729,0.6667,0.2690,0.3833,0.4465,apache/tez
0.6779,0.5587,0.6887,0.5771,0.6280,0.6070,apache/tika
0.6366,0.6159,0.7966,0.6932,0.7413,0.5708,apache/tomcat
0.6856,0.5721,0.7222,0.6933,0.7075,0.5088,apache/uima-uimaj
0.7223,0.5000,0.5000,0.6667,0.5714,0.5067,apache/uniffle
0.6852,0.5833,0.6800,0.7907,0.7312,0.3516,apache/unomi
0.7742,0.4506,0.4415,0.9492,0.6027,0.5637,apache/wicket
0.6009,0.6701,0.6207,0.5806,0.6000,0.6832,apache/xalan-java
0.7204,0.4167,0.3333,1.0000,0.5000,0.8319,apache/xmlgraphics-commons
0.7064,0.5926,0.5000,0.5455,0.5217,0.5540,apache/zookeeper
