Fold,AUC,ACC,Prec,Recall,F1
1,0.4987890695033766,0.4932115527030363,0.5659259259259259,0.4939655172413793,0.5275028768699654
2,0.5051375323898745,0.5044444444444445,0.577283950617284,0.5038793103448276,0.5380897583429229
3,0.5132972892166634,0.5123456790123457,0.5851851851851851,0.5107758620689655,0.5454545454545454
4,0.5000137034084113,0.4955555555555556,0.568395061728395,0.4961206896551724,0.5298043728423475
5,0.5136764999003389,0.5108641975308642,0.5837037037037037,0.5094827586206897,0.5440736478711162
6,0.5019745365756428,0.5019753086419753,0.5748148148148148,0.5017241379310344,0.5357882623705409
7,0.5023358082519433,0.5004938271604938,0.5733333333333334,0.5004310344827586,0.5344073647871116
8,0.5109592385887982,0.5123456790123457,0.5851851851851851,0.5107758620689655,0.5454545454545454
9,0.5148836456049433,0.5123456790123457,0.5851851851851851,0.5107758620689655,0.5454545454545454
10,0.51174620826274,0.5041975308641975,0.5767901234567901,0.5036653730056059,0.5377532228360957
Average,0.5072813531702732,0.5047779453937604,0.5775802469135802,0.5041596407488365,0.5383783142283737
