Project,AUC,ACC,Prec,Recall,F1
apache/accumulo,0.5387225494720269,0.5286458333333334,0.515625,0.5294117647058824,0.5224274406332454
apache/activemq,0.5085263157894737,0.48205128205128206,0.4948453608247423,0.48,0.4873096446700508
apache/ant,0.5309117965367965,0.5081967213114754,0.4672131147540984,0.5089285714285714,0.48717948717948717
apache/aries,0.6356780888030888,0.56656346749226,0.8695652173913043,0.5405405405405406,0.6666666666666666
apache/asterixdb,0.505766754881625,0.5050071530758226,0.6504297994269341,0.5033259423503326,0.5675
apache/atlas,0.4498837509687419,0.4509090909090909,0.6642335766423357,0.4642857142857143,0.5465465465465466
apache/avro,0.225,0.23076923076923078,0.3333333333333333,0.25,0.2857142857142857
apache/beam,0.5353451527725386,0.5193798449612403,0.48643410852713176,0.520746887966805,0.503006012024048
apache/bookkeeper,0.47777777777777775,0.48717948717948717,0.21052631578947367,0.4444444444444444,0.2857142857142857
apache/bval,0.6136363636363638,0.6428571428571429,0.6190476190476191,0.65,0.6341463414634146
apache/calcite,0.43018867924528303,0.43283582089552236,0.46,0.4339622641509434,0.44660194174757284
apache/camel,0.49113778449584655,0.5069739235900546,0.6747572815533981,0.5049954586739328,0.5776623376623377
apache/cassandra,0.4986078510724403,0.4907539118065434,0.4928774928774929,0.49008498583569404,0.4914772727272727
apache/causeway,0.46637924159187827,0.49501312335958003,0.8592436974789915,0.49696233292831105,0.6297151655119323
apache/cayenne,0.4820277722410471,0.48846153846153845,0.6538461538461539,0.4913294797687861,0.5610561056105611
apache/commons-io,0.5118518518518519,0.49333333333333335,0.5945945945945946,0.4888888888888889,0.5365853658536586
apache/commons-lang,0.5009009009009009,0.49107142857142855,0.6607142857142857,0.49333333333333335,0.5648854961832062
apache/creadur-rat,0.5238095238095238,0.5454545454545454,1.0,0.5238095238095238,0.6875
apache/ctakes,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
apache/curator,0.375,0.3333333333333333,0.75,0.375,0.5
apache/cxf,0.6064411919831223,0.5399568034557235,0.8701298701298701,0.5234375,0.6536585365853659
apache/datafu,1.0,1.0,1.0,1.0,1.0
apache/deltaspike,0.5488888888888888,0.5170068027210885,0.5068493150684932,0.5138888888888888,0.5103448275862069
apache/dolphinscheduler,0.5491648511256353,0.5662650602409639,0.5542168674698795,0.5679012345679012,0.5609756097560976
apache/drill,0.47153062775497795,0.4775828460038986,0.48046875,0.47674418604651164,0.4785992217898833
apache/druid,0.5073224387177876,0.49859943977591037,0.5168539325842697,0.4972972972972973,0.5068870523415978
apache/dubbo,0.4913970677329456,0.5058365758754864,0.515625,0.5038167938931297,0.5096525096525096
apache/empire-db,0.28342245989304815,0.37777777777777777,0.6363636363636364,0.4117647058823529,0.5
apache/eventmesh,0.4851282051282051,0.453125,0.34375,0.44,0.38596491228070173
apache/fineract,0.522609819121447,0.5338753387533876,0.6847826086956522,0.525,0.5943396226415094
apache/flink,0.5311705241095505,0.5230961298377028,0.445,0.5266272189349113,0.4823848238482385
apache/fluo,0.5252717391304348,0.5151515151515151,0.7121212121212122,0.5108695652173914,0.5949367088607594
apache/freemarker,1.0,0.5172413793103449,1.0,0.5087719298245614,0.6744186046511628
apache/geode,0.4757303085989481,0.4912,0.40384615384615385,0.4883720930232558,0.4421052631578947
apache/geronimo,0.4499421357626422,0.4623217922606925,0.5356415478615071,0.46714031971580816,0.4990512333965844
apache/giraph,0.49411764705882355,0.5405405405405406,0.5,0.5294117647058824,0.5142857142857142
