Fold1: AUC=0.6793, Acc=0.6554, Prec=0.6889, Rec=0.7263, F1=0.7071
Fold2: AUC=0.6985, Acc=0.6617, Prec=0.6923, Rec=0.7371, F1=0.7140
Fold3: AUC=0.6878, Acc=0.6506, Prec=0.6855, Rec=0.7207, F1=0.7027
Fold4: AUC=0.6781, Acc=0.6484, Prec=0.6801, Rec=0.7293, F1=0.7038
Fold5: AUC=0.6975, Acc=0.6548, Prec=0.6876, Rec=0.7284, F1=0.7074
Fold6: AUC=0.6868, Acc=0.6491, Prec=0.6810, Rec=0.7289, F1=0.7041
Fold7: AUC=0.6915, Acc=0.6494, Prec=0.6849, Rec=0.7185, F1=0.7013
Fold8: AUC=0.6817, Acc=0.6398, Prec=0.6762, Rec=0.7121, F1=0.6937
Fold9: AUC=0.7034, Acc=0.6632, Prec=0.7017, Rec=0.7168, F1=0.7092
Fold10: AUC=0.6893, Acc=0.6484, Prec=0.6815, Rec=0.7245, F1=0.7023
Average: AUC=0.6894, Acc=0.6521, Prec=0.6860, Rec=0.7243, F1=0.7046
