dimension,feature,display,test,p_value,effect,effect_abs,effect_name,summary,significant,q_value,fdr_significant
Code,comment_span,comment_span,MWU,3.87498374062642e-18,0.0405985889532057,0.0405985889532057,$\delta$,median 1.00 vs 1.00,True,7.893485397572336e-18,True
Code,code_file_lines,file_lines,MWU,1.6931798940094897e-07,-0.03033271222528321,0.03033271222528321,$\delta$,median 305.00 vs 292.00,True,2.450655109750577e-07,True
Code,code_imported_modules,imported_modules,MWU,8.94428423620046e-06,-0.025751167760914125,0.025751167760914125,$\delta$,median 19.00 vs 18.00,True,1.1180355295250573e-05,True
Code,is_test_file,is_test_file,$\chi^2$,7.317413875700728e-07,0.02461007997082321,0.02461007997082321,V,rate 0.14 vs 0.16,True,1.0319429824706154e-06,True
Code,is_test_method,is_test_method,$\chi^2$,2.2037723246475427e-06,0.023522048610041313,0.023522048610041313,V,rate 0.08 vs 0.09,True,2.956279947697923e-06,True
Code,method_visibility,method_visibility,$\chi^2$,0.002160520304132272,0.019006730462279287,0.019006730462279287,V,association,True,0.00252826844100585,True
Code,code_method_declaration_params,method_params,MWU,0.002037333146210594,-0.01700555404721032,0.01700555404721032,$\delta$,median 1.00 vs 1.00,True,0.002435941805251797,True
Code,is_static_method,is_static_method,$\chi^2$,0.006159779598402098,0.013610790114573846,0.013610790114573846,V,rate 0.09 vs 0.10,True,0.006914038324737048,True
Code,method_body_lines,method_body_lines,MWU,0.045709522220075065,-0.011395192402559972,0.011395192402559972,$\delta$,median 5.00 vs 4.00,True,0.049294582786355456,True
Code,code_cyclomatic_complexity,cyclomatic_complexity,MWU,0.03212874613909539,-0.01122135360039101,0.01122135360039101,$\delta$,median 0.00 vs 0.00,True,0.035341620753004926,True
Code,is_void_method,is_void_method,$\chi^2$,0.05258940110739208,0.009631258402316652,0.009631258402316652,V,rate 0.33 vs 0.32,False,0.05562340501743394,False
Comment,comment_keyword_type,comment_keyword_type,$\chi^2$,1.3877440373192215e-77,0.09484942033890018,0.09484942033890018,V,association,True,5.0883948035038124e-77,True
Comment,satd_length,length,MWU,2.374298121718753e-55,0.09075455507264425,0.09075455507264425,$\delta$,median 8.00 vs 9.00,True,7.68155274673714e-55,True
Comment,satd_quality_score,quality_score,$\chi^2$,2.954883534170312e-51,0.07579879401534793,0.07579879401534793,V,association,True,9.02881079885373e-51,True
Comment,satd_type,satd_type,$\chi^2$,5.024222076957661e-28,0.05755389155659616,0.05755389155659616,V,association,True,1.1513842259694639e-27,True
Comment,satd_path_depth,path_depth,MWU,1.2157034347136739e-17,-0.04903447078674768,0.04903447078674768,$\delta$,median 9.00 vs 9.00,True,2.3879888896161453e-17,True
Comment,satd_position_in_file,position_in_file,MWU,1.816111498800869e-15,-0.0461253633749664,0.0461253633749664,$\delta$,median 0.61 vs 0.60,True,3.3295377478015934e-15,True
