model,train_percentage,train_size,validation_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,max_train,max_test,auc,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,notes
textcnn,10,3645,405,36451,2000-01-13 18:42:41,2006-07-12 21:33:19,2006-11-22 07:01:42,2025-04-07 20:51:44,,,0.543782,0.565499,0.589061,0.800852,0.678821,0.059743,3876,11676,4162,16737,
bert,10,3645,405,36451,2000-01-13 18:42:41,2006-07-12 21:33:19,2006-11-22 07:01:42,2025-04-07 20:51:44,,,0.542717,0.577981,0.589499,0.869228,0.702543,0.076379,2902,12650,2733,18166,
textcnn,20,7290,810,32401,2000-01-13 18:42:41,2009-04-05 02:44:59,2009-08-25 02:21:38,2025-04-07 20:51:44,,,0.539529,0.558069,0.595983,0.736590,0.658868,0.053364,4254,9374,4945,13828,
bert,20,7290,810,32401,2000-01-13 18:42:41,2009-04-05 02:44:59,2009-08-25 02:21:38,2025-04-07 20:51:44,,,0.542036,0.575044,0.589338,0.879188,0.705659,0.050840,2127,11501,2268,16505,
textcnn,30,10935,1215,28351,2000-01-13 18:42:41,2011-07-07 18:55:52,2012-01-11 23:51:10,2025-04-07 20:51:44,,,0.546443,0.562449,0.598143,0.751412,0.666074,0.057879,3574,8312,4093,12372,
bert,30,10935,1215,28351,2000-01-13 18:42:41,2011-07-07 18:55:52,2012-01-11 23:51:10,2025-04-07 20:51:44,,,0.542813,0.549046,0.604108,0.648466,0.625502,0.060889,4889,6997,5788,10677,
textcnn,40,14580,1620,24301,2000-01-13 18:42:41,2012-12-08 15:53:20,2013-06-20 16:21:58,2025-04-07 20:51:44,,,0.536737,0.566890,0.586505,0.856646,0.696292,0.033020,1711,8506,2019,12065,
bert,40,14580,1620,24301,2000-01-13 18:42:41,2012-12-08 15:53:20,2013-06-20 16:21:58,2025-04-07 20:51:44,,,0.536124,0.575038,0.592314,0.855794,0.700084,0.058608,1921,8296,2031,12053,
textcnn,50,18225,2025,20251,2000-01-13 18:42:41,2014-04-11 02:20:21,2014-12-16 18:06:26,2025-04-07 20:51:44,,,0.540141,0.558540,0.574464,0.870876,0.692276,0.021780,1255,7449,1491,10056,
bert,50,18225,2025,20251,2000-01-13 18:42:41,2014-04-11 02:20:21,2014-12-16 18:06:26,2025-04-07 20:51:44,,,0.544142,0.560614,0.583697,0.799948,0.674923,0.051575,2116,6588,2310,9237,
textcnn,60,21870,2430,16201,2000-01-13 18:42:41,2015-05-12 18:25:11,2016-04-26 00:50:48,2025-04-07 20:51:44,,,0.535133,0.551880,0.560949,0.903244,0.692086,0.020232,782,6386,874,8159,
bert,60,21870,2430,16201,2000-01-13 18:42:41,2015-05-12 18:25:11,2016-04-26 00:50:48,2025-04-07 20:51:44,,,0.533885,0.550090,0.574200,0.747039,0.649314,0.054457,2164,5004,2285,6748,
textcnn,70,25515,2835,12151,2000-01-13 18:42:41,2016-10-05 04:11:43,2018-01-18 00:58:38,2025-04-07 20:51:44,,,0.543754,0.563493,0.593815,0.776007,0.672795,0.055239,1394,3730,1574,5453,
bert,70,25515,2835,12151,2000-01-13 18:42:41,2016-10-05 04:11:43,2018-01-18 00:58:38,2025-04-07 20:51:44,,,0.522178,0.540696,0.585826,0.702291,0.638794,0.022894,1635,3489,2092,4935,
textcnn,80,29160,3240,8101,2000-01-13 18:42:41,2018-05-26 19:58:10,2019-12-08 22:05:16,2025-04-07 20:51:44,,,0.534129,0.565486,0.587706,0.846497,0.693753,0.028968,594,2797,723,3987,
bert,80,29160,3240,8101,2000-01-13 18:42:41,2018-05-26 19:58:10,2019-12-08 22:05:16,2025-04-07 20:51:44,,,0.538759,0.550549,0.595225,0.709342,0.647292,0.042064,1119,2272,1369,3341,
textcnn,90,32805,3645,4051,2000-01-13 18:42:41,2020-02-22 21:39:48,2022-03-24 21:23:38,2025-04-07 20:51:44,,,0.506006,0.534189,0.558586,0.795585,0.656347,-0.002130,362,1424,463,1802,
bert,90,32805,3645,4051,2000-01-13 18:42:41,2020-02-22 21:39:48,2022-03-24 21:23:38,2025-04-07 20:51:44,,,0.522355,0.545051,0.567759,0.780574,0.657371,0.031714,440,1346,497,1768,
