feature,mean_abs_shap,mean_signed_shap,positive_fraction
ownership,0.17649773,-0.0021653883,0.630662881125787
ownership_x_active_commits,0.17024714,-0.026011342,0.4062461424515492
repay_ratio,0.12968007,0.019743154,0.43241575114183434
active_developers,0.12780096,-0.08726526,0.36612763856314035
file_frequency,0.12646379,-0.0051338547,0.634489569188989
repaid_satd_count,0.10092157,0.04608985,0.3761264041476361
last_repay_satd_days,0.09298457,-0.011383448,0.5988149611159116
is_top_committer,0.085942306,-0.0293996,0.8208863103320577
p_active_days,0.08486183,0.0473126,0.4461177632391063
d_active_commits,0.08117833,0.020663362,0.1852857671892359
p_active_commits,0.07772321,0.007287041,0.6763362547833601
d_last_commit_days,0.060300004,-0.022448301,0.5217874336501667
files,0.05998705,0.049758434,0.8468090359214911
past_feature_ratio,0.05874845,0.019232728,0.7879274163683496
file_authors,0.058053598,0.0090030655,0.6235032712010863
ownership_x_contribution_ratio,0.0574053,-0.027501537,0.37686705345019134
path_depth,0.05397161,0.036498506,0.8610048142204666
length,0.052814737,0.003781829,0.37624984569806197
file_lines,0.052640293,-0.0030687181,0.3472410813479817
d_active_days,0.05252378,0.013591913,0.3899518577953339
p_total_commits,0.05158001,0.016730422,0.5003086038760647
comment_keyword_type_OTHER,0.049143218,0.003775059,0.8273052709542031
satd_density,0.047310412,-0.0016397681,0.2683619306258487
repay_speed,0.046905737,-0.0073842704,0.6356005431428219
past_bugfix_ratio,0.04054839,-0.0012045319,0.6049870386372053
contribution_ratio,0.036583666,0.0017386766,0.25959758054561166
comment_keyword_type_TODO,0.032082498,0.005223285,0.7628687816318973
satd_quality_score_1,0.02787673,0.0016160634,0.8742130601160351
dev_proj_past_satd_count,0.027723368,-0.004252392,0.4108134798173065
proj_hist_satd_count,0.026392644,0.005979747,0.5946179484014319
imported_modules,0.025547598,0.009468945,0.787557091717072
total_developers,0.024283288,-0.010036246,0.33761264041476363
satd_quality_score_3,0.020529471,0.0030523988,0.6272065177138625
d_total_commits,0.020109415,-0.005209028,0.528329835822738
added_satd_count,0.019135445,0.004542008,0.6854709295148748
past_refactor_ratio,0.018676393,0.0037287967,0.5648685347487964
log1p_total_commits,0.01385472,-0.0068500955,0.5207999012467597
satd_type_requirement debt,0.013449513,0.0025844977,0.3858782866312801
cyclomatic_complexity,0.013422723,-0.00071984297,0.12183681027033699
p_last_commit_days,0.01319584,0.0019325113,0.1407233674854956
readme_score,0.010553983,0.008357333,0.8685347487964449
comment_has_issue_ref,0.009633915,-0.00209453,0.8840883841501049
method_params,0.005550762,0.00015109069,0.33193432909517345
position_in_file,0.0042929063,0.0007457557,0.5569682755215406
past_cleanup_ratio,0.0034434635,-0.00068035244,0.6611529440809777
method_body_lines,0.003204256,-0.0005195373,0.7744722873719294
comment_keyword_type_XXX,0.0011993481,-0.0003825314,0.9864214294531539
satd_add_is_weekend_or_night_0,0.0010539808,0.00029891063,0.43007036168374274
is_test_method,0.00094234536,-1.6012666e-05,0.5593136649796322
comment_span,0.00089989236,0.0001816194,0.748549561782496
comment_has_fixme,0.0008879699,-0.000111377565,0.04604369830885076
is_static_method,0.0008794268,-5.0101047e-05,0.8934699419824713
is_void_method,0.00084473024,-2.8134104e-05,0.3487223799530922
f_comment_type_Block,0.0008072334,0.00021688831,0.9812368843352672
is_test_file,0.0007964336,2.7566284e-05,0.5396864584619183
satd_type_design debt,0.0007704491,-2.347285e-05,0.5901740525861005
comment_keyword_type_HACK,0.0006972551,0.00027746352,0.9390198740896185
method_visibility_private,0.00046279395,7.6161996e-05,0.13800765337612642
satd_quality_score_2,0.00045694373,-4.4136745e-05,0.2463893346500432
f_comment_type_Line,0.0004336788,0.00016382152,0.9396370818417479
method_visibility_protected,0.00033523733,2.9685145e-05,0.8824836439945686
comment_keyword_type_FIXME,0.00017222278,-3.4019253e-05,0.043821750401185036
method_visibility_default,0.00017112783,-1.640155e-05,0.6475743735341316
satd_add_is_weekend_or_night_1,0.00014619862,4.5769113e-05,0.5404271077644736
satd_type_documentation debt,0.00013951097,-7.418344e-05,0.02320701148006419
method_visibility_public,3.8790135e-05,6.3304483e-06,0.541908406369584
comment_has_question,1.8186327e-05,8.592566e-06,0.9387729909887668
comment_has_url,0.0,0.0,0.0
satd_type_test debt,0.0,0.0,0.0
satd_type_defect debt,0.0,0.0,0.0
